k,inercia,silueta
2,8765.632457940555,0.22345067887740624
3,7313.360314552487,0.23374996446461027
4,6460.512572919412,0.22869298008014807
5,5888.276011930699,0.1963850188700402
6,5423.584921723156,0.19683239069687222
7,5059.588282119059,0.19044091625934825
8,4745.720999327971,0.19009284740068857
